,DURG_Class,reporting_year,reporting_number,RF_MAE_with_premium,RF_MAE_after_8_period_with_premium,CL_MAE_with_premium,CL_MAE_after_8_period_with_premium,period
67,DURG_8,2015,3,77.34734750131958,24.51537198763916,4.113528142128866,0.68532525,2015Q3
68,DURG_9,2015,3,5006.69335255736,4046.464504179198,524.3847533167028,375.95924129573245,2015Q3
69,DURG_10,2015,3,1082.7550548037264,1128.1400003465815,1092.3349752108106,237.2997668174164,2015Q3
70,DURG_1,2015,4,9117.787918522678,3947.374692045356,4370.716329305333,2456.2461185540596,2015Q4
71,DURG_2,2015,4,128.28564961095813,92.10024805002111,80.96139784739881,0.0,2015Q4
72,DURG_3,2015,4,5122.218178976459,1708.7441060875444,1588.084045968581,429.74850038666773,2015Q4
73,DURG_4,2015,4,3063.1652363830544,123.1711684100087,624.6440919563277,87.93643801896724,2015Q4
74,DURG_5,2015,4,2007.4087681564183,1980.9897443128375,359.87377564902044,380.3801616183,2015Q4
75,DURG_6,2015,4,7089.707876483346,6811.686802966695,4666.445618167721,119.67619203283903,2015Q4
76,DURG_7,2015,4,1996.3435054739975,2835.620593239504,2455.5691844727544,719.1212911814309,2015Q4
77,DURG_8,2015,4,67.50072318521805,4.822123355436078,2.5643649895029745,0.0,2015Q4
78,DURG_9,2015,4,729.3156419476086,1037.450760395217,593.985932155817,96.00320207718505,2015Q4
79,DURG_10,2015,4,1068.5377330675442,1127.044346519613,574.2603513029,21.009703797828706,2015Q4
80,DURG_1,2016,1,9286.647914725594,6662.399711517097,12174.645332974467,3682.1827231062052,2016Q1
81,DURG_2,2016,1,184.88613910886437,204.37108689074742,0.0,0.0,2016Q1
82,DURG_3,2016,1,7355.192431735713,3617.268030914298,3183.9986770357445,1324.7807016785518,2016Q1
83,DURG_4,2016,1,3471.8189849604096,5301.86865441565,1232.7967470266613,274.1865130022429,2016Q1
84,DURG_5,2016,1,1857.2120276606902,1688.5665319999998,2913.11152216531,402.8832329601951,2016Q1
85,DURG_6,2016,1,7437.526142927301,3368.4994100000004,16116.661548656066,1525.5261884818901,2016Q1
86,DURG_7,2016,1,2184.4159250000002,2205.770115000001,4158.355408795882,1093.485029781612,2016Q1
87,DURG_8,2016,1,98.50917004034422,10.948101563084176,30.705400047596243,8.005666350000013,2016Q1
