DURG_CLASS,REPORTING_PERIOD,YOA,CURRENCY_CODE,IW Total Premium Paid,Total Claims Paid,Total Claims Outstandings,Total Claims Incurred,Catastrophe Paid,Catastrophe Incurred,Large Loss Paid,Large Loss Incurred,Non-Cat Incurred
DURG_10,2017Q02,2001,CCY_2,331052.7754,-214508.0701,0,-214508.0701,0,0,0,0,-214508.0701
DURG_7,2017Q02,2016,CCY_2,8467636.658,-5206770.112,-4092789.536,-9299559.648,-1286275.519,-2487291.451,0,0,-6812268.197
DURG_6,2014Q01,2014,CCY_3,631711.373,-343.54824,-1832.51925,-2176.06749,0,0,0,0,-2176.06749
DURG_2,2018Q03,2010,CCY_1,2631995.382,-1258939.047,-768.4323,-1259707.48,-1258939.47,-1259707.902,0,0,0.42228
DURG_8,2017Q01,2014,CCY_3,125392.7616,0,0,0,0,0,0,0,0
DURG_5,2020Q02,2013,CCY_1,16421342.18,-11372513,-426801.3285,-11799314.33,0,0,-2030402.309,-2030402.309,-11799314.33
DURG_5,2020Q02,2004,CCY_1,9688310.452,-2470154.625,0,-2470154.625,0,0,0,0,-2470154.625
DURG_10,2008Q02,2004,CCY_3,2087194.242,-1085589.706,-81407.91258,-1166997.618,-69221.99094,-69708.11733,0,0,-1097289.501
DURG_9,2018Q01,2017,CCY_1,19906341.67,-33424491.92,-19584262.18,-53008754.1,-32713726.97,-50555616.95,0,0,-2453137.151
DURG_4,2009Q03,2008,CCY_1,106729623.1,-33354688.35,-6376292.788,-39730981.14,-22459295.98,-27278479.8,0,0,-12452501.34
DURG_6,2016Q04,2001,CCY_1,54265107.38,-26964408.41,-11169.66963,-26975578.08,-3375012.713,-3375012.713,-8838922.712,-8846945.446,-23600565.36
DURG_10,2010Q03,2008,CCY_2,767769.6606,-376024.8329,-29788.2177,-405813.0506,0,0,0,0,-405813.0506
