,DURG_Class,reporting_year,reporting_number,RF_MAE,CL_MAE,RF_MAE_after_8_period,CL_MAE_after_8_period,period
42,DURG_3,2011,1,5667.857575049566,6922.034816328239,7721.541537529919,1302.9655229524806,2011Q1
43,DURG_4,2011,1,5484.072327765772,7472.805848301732,481.95479168097427,1127.175819637947,2011Q1
44,DURG_5,2011,1,1468.832321958577,3024.2997636587293,1374.3051254267589,286.87460908457115,2011Q1
45,DURG_6,2011,1,8006.910820000001,8635.118852835083,1853.4329345518054,412.4180496276804,2011Q1
46,DURG_7,2011,1,3161.720123531349,1049.2353549811578,1891.5165299999999,190.93666951400155,2011Q1
47,DURG_8,2011,1,78.59370397890048,5.865e-06,78.7222980357656,0.0,2011Q1
48,DURG_9,2011,1,5887.776292749999,154406.36616221067,2983.966768595117,4876.768748121979,2011Q1
49,DURG_10,2011,1,2159.7196995413465,825.919263973431,1794.5543814759371,450.2828682872921,2011Q1
50,DURG_1,2011,2,7733.873928624447,13925.414622019745,5547.444910000002,3066.9672365700826,2011Q2
51,DURG_2,2011,2,107.16735427913906,15.785891817029935,81.49601619533406,31.57169125301861,2011Q2
52,DURG_3,2011,2,6902.573256346616,1210.669784840105,8680.606728288592,161.0982952719014,2011Q2
53,DURG_4,2011,2,6292.05964914829,2192.802837656007,3357.668775796581,608.9917658491713,2011Q2
54,DURG_5,2011,2,1517.7236986874939,1395.2777806139986,1348.2873900104846,53.51560045358838,2011Q2
55,DURG_6,2011,2,19197.019029051306,6540.673675356179,14617.441666503231,1034.3805099004094,2011Q2
56,DURG_7,2011,2,3170.122871314615,5973.215732608369,1891.5165299999999,142.3923911645934,2011Q2
57,DURG_8,2011,2,40.02559142519675,5.865e-06,51.07938620066368,0.0,2011Q2
58,DURG_9,2011,2,5887.776292749999,2919.1365957478533,3133.5382247252346,3296.571132660688,2011Q2
59,DURG_10,2011,2,2522.5624949707735,706.4961111706064,2052.4431524176,396.1584728033456,2011Q2
60,DURG_1,2011,3,7597.087980942424,10015.685084917392,5547.444910000002,2323.633889140372,2011Q3
61,DURG_2,2011,3,126.44050346483405,14.328871949531246,122.46111295846346,28.657670156104206,2011Q3
62,DURG_3,2011,3,5995.048592724768,1061.738470071185,7252.907354719696,79.81317920102902,2011Q3
63,DURG_4,2011,3,5005.87844642145,3752.699661322833,785.3063703428979,78.50219742306444,2011Q3
64,DURG_5,2011,3,1493.7678486251111,1231.079270549519,1297.3263377502226,98.05861187643768,2011Q3
65,DURG_6,2011,3,17825.329560945793,7727.13241063311,14040.52962091001,677.7023492246954,2011Q3
66,DURG_7,2011,3,3140.5033528243152,3769.1600464012117,1870.657453022085,261.9574901160504,2011Q3
67,DURG_8,2011,3,42.44515525327708,5.865e-06,55.91851385682433,0.0,2011Q3
68,DURG_9,2011,3,5887.776292749999,4152.540891703377,1621.9397679213544,4840.853785561713,2011Q3
69,DURG_10,2011,3,2229.702280598696,461.20930638264997,1577.2558741762214,77.04055732146139,2011Q3
70,DURG_1,2011,4,7442.973227415465,9112.222436781223,6126.19188247692,1712.8836666186398,2011Q4
71,DURG_2,2011,4,110.62329037217162,0.0034819535849961543,72.2455854499142,0.006883810590154481,2011Q4
72,DURG_3,2011,4,4881.73387669918,832.5837180691583,5349.050053129354,105.85962995023965,2011Q4
73,DURG_4,2011,4,4918.436201041188,4045.372194396826,621.1424261966094,168.75086465210734,2011Q4
74,DURG_5,2011,4,1473.0523937964724,949.753326779952,1255.8954280929452,217.35135421020686,2011Q4
75,DURG_6,2011,4,17448.399198552055,5102.871615936056,13784.335971534952,946.2733943250478,2011Q4
76,DURG_7,2011,4,3082.0165828275867,2208.0645352607166,1779.8657542947385,145.70560566124095,2011Q4
77,DURG_8,2011,4,42.85192735736574,5.865e-06,55.41597111024174,0.0,2011Q4
78,DURG_9,2011,4,5856.222932698494,2988.4444971289413,806.9180681685957,2568.9555431640492,2011Q4
79,DURG_10,2011,4,1897.0785419858871,352.2846107171597,1222.1120349691853,30.345109360953302,2011Q4
80,DURG_1,2012,1,9023.000891960552,13463.348994754859,12827.244413921104,3688.596585560328,2012Q1
81,DURG_2,2012,1,3.2204238747550393,3.0018180860447485e-05,3.1750334668504685,6.003636172089497e-05,2012Q1
82,DURG_3,2012,1,6264.966900212013,4489.807054970771,6732.055161811777,516.5701265550615,2012Q1
83,DURG_4,2012,1,5316.1612343955985,5582.224122334626,3765.003023791197,750.3625464133165,2012Q1
84,DURG_5,2012,1,2132.6011625873853,2594.204716032562,1606.9744289999999,355.1025846516136,2012Q1
85,DURG_6,2012,1,10631.331448110439,11981.013427440179,3460.1875564109305,3918.7826714940384,2012Q1
86,DURG_7,2012,1,5263.066641830524,2511.8929309796345,3229.4749470586867,667.5893575835753,2012Q1
87,DURG_8,2012,1,79.70701541454542,0.34266849,80.06074429429947,0.0,2012Q1
88,DURG_9,2012,1,9762.654669785568,3053.1321439159697,5433.133334999999,3442.260668227632,2012Q1
89,DURG_10,2012,1,875.8579214687921,1081.0421413665363,1415.4205374375842,230.1464141774096,2012Q1
90,DURG_1,2012,2,8854.169451574535,12886.950794477374,12489.58153314907,1725.2708581512888,2012Q2
91,DURG_2,2012,2,77.31561288870745,4.1217623264441504e-05,5.643955458075275,7.209381995058405e-05,2012Q2
92,DURG_3,2012,2,5279.92214534035,4027.428739133624,6472.214569409311,202.42873331417832,2012Q2
93,DURG_4,2012,2,4812.487987617416,3828.7771982504014,2757.656530234832,195.93420880958547,2012Q2
94,DURG_5,2012,2,2140.670531439084,8680.902633253503,1606.9744289999999,168.97724762266262,2012Q2
95,DURG_6,2012,2,20655.732195309458,8897.175601814972,23277.595223390963,3641.433354602521,2012Q2
96,DURG_7,2012,2,5047.948893011238,908.8293089391454,2800.6034913839967,376.1723425387554,2012Q2
97,DURG_8,2012,2,39.68292880019675,0.34266806173554665,51.07938620066368,0.0,2012Q2
98,DURG_9,2012,2,9836.033185293316,1535.496587774895,5412.923699039873,2261.6288076910914,2012Q2
99,DURG_10,2012,2,1753.154595068443,1002.5952784846824,1502.3215097513912,102.4151863111025,2012Q2
100,DURG_1,2012,3,7511.058214757373,4971.660751683694,9422.565985641653,498.97560651949607,2012Q3
101,DURG_2,2012,3,3.0707721741526184,3.7736168997359935e-05,1.409034912560238,6.629069164476474e-05,2012Q3
102,DURG_3,2012,3,5850.928941926674,3624.552687090747,5897.031631205005,294.473379393914,2012Q3
103,DURG_4,2012,3,5224.600111857202,1821.7173778622644,3581.8807787144046,119.04115999909436,2012Q3
104,DURG_5,2012,3,2064.461794484524,4973.639513353399,1606.9744289999999,219.09623056797727,2012Q3
105,DURG_6,2012,3,18001.157914060594,5269.086882912533,17661.37349346548,2596.4800071370173,2012Q3
106,DURG_7,2012,3,4704.09287097107,686.3260520595268,2469.259819894045,179.7170560379618,2012Q3
107,DURG_8,2012,3,27.314262899984588,0.34266806173554665,34.996522560564166,0.0,2012Q3
108,DURG_9,2012,3,9924.670178066308,4232.717528118728,5425.159926216664,1849.0459230896577,2012Q3
109,DURG_10,2012,3,1433.4027793031796,503.73106317933804,1304.1570893776916,31.43866622432006,2012Q3
110,DURG_1,2012,4,7454.968980216749,8728.862425722746,6041.724187739725,710.1848130877879,2012Q4
111,DURG_2,2012,4,88.6407741677835,3.158444081382929e-05,1.0827202244804222,5.387396078676699e-05,2012Q4
112,DURG_3,2012,4,5018.073108613633,2591.4799137424156,4763.121938648974,96.28372931941703,2012Q4
113,DURG_4,2012,4,4885.805392256014,1440.2932862648993,3021.0310178885934,159.7094954778563,2012Q4
114,DURG_5,2012,4,1895.523276679449,974.9258613045549,1606.9744289999999,229.8395895806002,2012Q4
115,DURG_6,2012,4,13452.277667218934,2533.5564730302776,10099.486944776052,2469.286635184557,2012Q4
116,DURG_7,2012,4,3836.330899773673,1258.3410298461808,1525.2465790506849,182.97122219072207,2012Q4
117,DURG_8,2012,4,24.625290549340374,0.3426683532220434,27.67567442106735,0.0,2012Q4
118,DURG_9,2012,4,9814.555778740534,2880.0568171763343,5210.385959177986,1028.8033084262115,2012Q4
119,DURG_10,2012,4,286.8767628659504,173.86707691017511,237.45822023190078,31.567885113393345,2012Q4
120,DURG_1,2013,1,14314.805027692497,21621.956117773676,7039.236334999994,9129.094679129801,2013Q1
121,DURG_2,2013,1,3.4979641142275497,1.846355203962447e-05,2.332034178006938,3.692710407924894e-05,2013Q1
122,DURG_3,2013,1,3999.8225749067315,8177.176451312187,3995.0545174892923,309.30169753306654,2013Q1
123,DURG_4,2013,1,9613.218489120733,1775.8549539102332,1877.8274108239611,159.1549808427294,2013Q1
124,DURG_5,2013,1,2540.4400389384755,3299.5009147262926,1690.2093594999997,164.7097855087486,2013Q1
125,DURG_6,2013,1,15719.642466056313,10249.328962294316,20727.25232703096,4007.220086801495,2013Q1
126,DURG_7,2013,1,5798.44325398619,2353.7503932902446,2220.594326532857,62.35955929908414,2013Q1
127,DURG_8,2013,1,26.24660600512834,14.1503124825,25.56324927525668,1.173e-05,2013Q1
128,DURG_9,2013,1,12404.397206782858,2454.303884145421,8499.482163614524,2024.3409090322766,2013Q1
129,DURG_10,2013,1,845.3956979688987,1037.7791745022646,982.9137534116073,192.84586779453707,2013Q1
130,DURG_1,2013,2,4937.395465,10481.667628745501,7039.236334999994,3989.3079856518743,2013Q2
131,DURG_2,2013,2,0.2984860391779274,1.8637114793483802e-05,0.19904510126546412,3.7274229586967604e-05,2013Q2
132,DURG_3,2013,2,4188.146493618347,6615.648111741968,4105.798634882638,471.3631052066157,2013Q2
133,DURG_4,2013,2,9706.235485179295,1880.9255212945768,1204.6717791572864,481.1876091734616,2013Q2
134,DURG_5,2013,2,2376.1255937422966,2624.2337735456276,1354.166337706647,303.1803829166797,2013Q2
135,DURG_6,2013,2,18062.764111713484,11988.371099090995,13877.089364130881,2244.205914298491,2013Q2
136,DURG_7,2013,2,5528.124479079762,1695.6558830897911,1978.5051715797617,19.449780496006497,2013Q2
137,DURG_8,2013,2,30.146615688143235,14.1503124825,33.363268641286474,1.173e-05,2013Q2
138,DURG_9,2013,2,11551.01697534474,1701.0093176752375,6170.341971622778,191.19111882321795,2013Q2
139,DURG_10,2013,2,877.9816874543623,480.36014616131706,631.3812687454613,411.1685550268776,2013Q2
140,DURG_1,2013,3,14965.695647496503,6711.880749126789,7039.236334999994,3469.661931362789,2013Q3
141,DURG_2,2013,3,0.11860219799035716,1.5371569432513257e-05,0.12235392105071427,3.074313886502651e-05,2013Q3
142,DURG_3,2013,3,2607.649556706191,5525.7961951443285,3510.7684606515886,136.13134590751724,2013Q3
143,DURG_4,2013,3,8675.977594222135,1013.60574762296,180.9826705237806,128.56442599888078,2013Q3
144,DURG_5,2013,3,2360.5477615134173,625.3681426822834,1339.6170518483095,115.64510154526533,2013Q3
145,DURG_6,2013,3,14638.735408134997,5375.336873528881,17611.35529668785,2268.468039029489,2013Q3
146,DURG_7,2013,3,4908.503215021109,762.0539653594569,1358.883907521109,761.5855716751594,2013Q3
147,DURG_8,2013,3,28.18138353111248,14.1503124825,29.432804327224957,1.173e-05,2013Q3
148,DURG_9,2013,3,9898.51485280869,4384.981182088448,4788.279754049642,266.68978327652985,2013Q3
149,DURG_10,2013,3,658.8063065874345,709.6100812590672,520.257548992631,65.83832960215511,2013Q3
150,DURG_1,2013,4,16843.95693026905,5379.4982401891575,7084.154909520003,3099.3805541429683,2013Q4
151,DURG_2,2013,4,0.21606857923226727,1.8127082225298867e-05,0.2256335939454004,3.6254164450597734e-05,2013Q4
152,DURG_3,2013,4,2974.682239298517,4512.046931384431,1845.308819127904,423.87642288591087,2013Q4
153,DURG_4,2013,4,8889.97623560452,579.2550911200839,268.4491271986303,47.898858984121034,2013Q4
154,DURG_5,2013,4,2300.7092794496552,608.6351654218411,1197.5600920716906,113.24163032315482,2013Q4
155,DURG_6,2013,4,14105.310432163693,7333.597855368543,17010.901014124996,830.9284072777136,2013Q4
156,DURG_7,2013,4,4574.871754968438,1001.2848754974884,1017.1707735496875,291.7307558331777,2013Q4
157,DURG_8,2013,4,26.44379865130025,14.1503124825,25.957634567600493,1.173e-05,2013Q4
158,DURG_9,2013,4,6744.248028821923,2289.0143691337666,2661.1639804861443,199.14850037795804,2013Q4
159,DURG_10,2013,4,493.1899201529643,211.8864088542582,344.58248942811883,104.22666826281534,2013Q4
160,DURG_1,2014,1,25252.126899143404,10958.908485547174,17696.707130761155,2744.10144308101,2014Q1
161,DURG_2,2014,1,82.66964329482526,0.0,15.539295289014206,0.0,2014Q1
162,DURG_3,2014,1,4420.166735783483,7727.30732337457,4111.108436452991,1601.7388682553756,2014Q1
163,DURG_4,2014,1,3410.0058748697866,66038.81104932235,1252.3636106894473,791.2508512988525,2014Q1
164,DURG_5,2014,1,2094.1911863818877,550.4882546470158,1850.4513258818874,298.82312053524583,2014Q1
165,DURG_6,2014,1,12077.217278872145,12915.04938710031,18188.931412968974,2510.370265779986,2014Q1
166,DURG_7,2014,1,5501.704000384708,6101.055376114173,3811.203447884709,603.8964432657085,2014Q1
167,DURG_8,2014,1,78.89314900702209,79.2399710575,21.956195810275428,0.68533698,2014Q1
168,DURG_9,2014,1,7002.801272649942,2317.70338163488,4537.223430929504,777.417791093636,2014Q1
169,DURG_10,2014,1,237.33294515255648,1486.3753919952965,194.9006223092165,195.37204921922694,2014Q1
170,DURG_1,2014,2,23971.839047637346,7869.606963167544,15243.340226542692,3956.1442973474695,2014Q2
171,DURG_2,2014,2,80.13958727540872,0.0,14.08889125636723,0.0,2014Q2
172,DURG_3,2014,2,4188.206803927438,6664.19309300496,3708.5165331138433,1222.363395732178,2014Q2
173,DURG_4,2014,2,3300.0127048696572,4209.5628454956495,1089.031591582595,201.8124700134922,2014Q2
174,DURG_5,2014,2,2095.924157266494,1562.0949411944653,1852.1842967664938,193.46062466423655,2014Q2
175,DURG_6,2014,2,11745.17074460515,6167.581372370917,17602.836938549583,1931.1189571015257,2014Q2
176,DURG_7,2014,2,5502.734544070122,1273.0644509081758,3812.233991570123,716.8433579317498,2014Q2
177,DURG_8,2014,2,80.2270179126774,79.2399710575,27.43278597014386,0.68533698,2014Q2
178,DURG_9,2014,2,7139.157624942311,1043.8303106223302,4483.745538907668,417.2886211924533,2014Q2
179,DURG_10,2014,2,728.1758094502006,987.1308680599327,233.83176491321967,206.48271273725175,2014Q2
180,DURG_1,2014,3,21530.261038151308,4397.593487725915,10448.573316429043,3355.7978696323516,2014Q3
181,DURG_2,2014,3,97.7829484549537,4.9798894423648815e-06,4.994482844932921,0.0,2014Q3
182,DURG_3,2014,3,3309.0025173729446,4362.8626858168245,3257.514317973166,1361.1461036896726,2014Q3
183,DURG_4,2014,3,2931.340025686972,930.6808726593474,346.11206792030316,106.31141854433736,2014Q3
184,DURG_5,2014,3,1952.2038811823138,1301.254324307689,1708.4640206823137,140.27032447939246,2014Q3
185,DURG_6,2014,3,7358.801123241917,3660.693269083459,8951.10404437244,321.38229780204165,2014Q3
186,DURG_7,2014,3,4557.959407455014,1483.5285559864624,2875.8034587135517,825.4568496404718,2014Q3
187,DURG_8,2014,3,77.41696865679397,79.2399710575,20.48406565328211,0.68533698,2014Q3
188,DURG_9,2014,3,5963.010290250304,750.0733262843238,4054.394357638657,679.3065023597801,2014Q3
189,DURG_10,2014,3,855.465377915719,433.52410146509015,209.5802774173551,214.2961362054333,2014Q3
190,DURG_1,2014,4,20229.2069347977,3536.2736615467493,7722.422974156201,1154.85127501663,2014Q4
191,DURG_2,2014,4,126.82703641922939,8.764605418562192,88.09499343937856,0.0,2014Q4
192,DURG_3,2014,4,3077.3973849476197,2842.3865850513193,2507.8581454276173,512.7955742297436,2014Q4
193,DURG_4,2014,4,4064.3689219402704,138.43884738937913,347.55463792094815,88.6127857206875,2014Q4
194,DURG_5,2014,4,1764.6933581429064,943.6245753688747,1520.9534976429063,177.41877212233794,2014Q4
195,DURG_6,2014,4,6047.1229686720735,3727.719687519385,6003.703400663688,1024.1556547867604,2014Q4
196,DURG_7,2014,4,3675.9223610044046,927.0686547382129,2299.760037285001,476.88369126391444,2014Q4
197,DURG_8,2014,4,64.98451172553357,79.23996838522223,16.67451280759286,0.68532525,2014Q4
198,DURG_9,2014,4,5667.236942153757,1510.4472106299486,3545.909892484597,119.78725903885015,2014Q4
199,DURG_10,2014,4,1063.1863944449642,668.8747908123851,559.7537296575954,39.72305315101221,2014Q4
200,DURG_1,2015,1,8551.591183181918,12394.85444816553,2835.554595000005,2954.2139630741185,2015Q1
201,DURG_2,2015,1,179.60744447229274,8.764605418562192,193.8702092111429,0.0,2015Q1
202,DURG_3,2015,1,4198.618323154102,4421.731245744206,1299.6913880515476,2133.5428331741787,2015Q1
203,DURG_4,2015,1,5301.86976462977,830.3239219967093,402.5020044984162,51.18421954147561,2015Q1
204,DURG_5,2015,1,2426.4232199884686,35643.66396204203,2772.007553488469,617.9305762894128,2015Q1
205,DURG_6,2015,1,8767.940899596786,12724.641162241149,10181.053002645032,3086.3278232924604,2015Q1
206,DURG_7,2015,1,2966.913249264431,5660.88637562839,4882.2785735288635,756.2074986849402,2015Q1
207,DURG_8,2015,1,90.98087569155467,4.113528142128851,51.78242836810932,0.68532525,2015Q1
208,DURG_9,2015,1,6059.590645614093,6278.70533354997,5931.223966201183,365.66015195239834,2015Q1
209,DURG_10,2015,1,1140.1353948887718,862.1848456994204,1236.9187997314689,153.24425388950408,2015Q1
210,DURG_1,2015,2,8561.877870000002,11609.100494324508,2835.554595000005,2750.476615676409,2015Q2
211,DURG_2,2015,2,167.99273084569856,83.99757315129834,173.4833730009205,0.0,2015Q2
212,DURG_3,2015,2,4585.047045930823,2527.990760231378,1819.6503368910926,1241.1954382479562,2015Q2
213,DURG_4,2015,2,5301.18259618331,386.51768939892264,401.1276676054972,62.18562680840478,2015Q2
214,DURG_5,2015,2,2426.4232199884686,7045.915601498711,2772.007553488469,409.1260912278385,2015Q2
215,DURG_6,2015,2,8943.859475342468,7834.031154946245,10519.990000684938,2704.9734703456706,2015Q2
216,DURG_7,2015,2,2966.913249264431,949.3268671267206,4882.2785735288635,583.5939080100288,2015Q2
217,DURG_8,2015,2,88.48448003331401,4.113528142128851,46.789637051628034,0.68532525,2015Q2
218,DURG_9,2015,2,5825.952545651568,928.8224559693975,5463.947766276133,158.26294619847226,2015Q2
219,DURG_10,2015,2,1033.3943886783834,808.1623330785766,1173.8020035684706,123.2290470090229,2015Q2
220,DURG_1,2015,3,9331.00910518271,6980.858600538821,3019.6404893081344,3040.3923657065643,2015Q3
221,DURG_2,2015,3,128.15590047245027,78.56922736704537,95.4918904597642,0.0,2015Q3
222,DURG_3,2015,3,6001.767354050323,1526.1815325244195,2156.594004899054,1118.2276244055138,2015Q3
223,DURG_4,2015,3,4186.012501436735,586.7884959789757,765.0043191648929,76.1557386600548,2015Q3
224,DURG_5,2015,3,2239.1467848649463,1996.7911852294826,2444.4657777298935,741.9921409012186,2015Q3
225,DURG_6,2015,3,8969.278706142544,3913.3483984381182,10755.93426759744,675.8658069041958,2015Q3
226,DURG_7,2015,3,2591.245326607167,1625.2218666327672,4130.942728214335,612.4729486251344,2015Q3
227,DURG_8,2015,3,54.5465148156645,4.113528142128851,23.16054478390997,0.68532525,2015Q3
228,DURG_9,2015,3,5397.756187644979,524.3847533167032,4318.042050842796,375.9592412957327,2015Q3
229,DURG_10,2015,3,1104.847729993527,1092.3349752108109,1285.289745160507,237.29976681741664,2015Q3
230,DURG_1,2015,4,9437.865390913179,4370.716329305333,4587.529636826359,2456.2461185540596,2015Q4
231,DURG_2,2015,4,125.14817308598705,80.96139784739883,87.71955589952955,0.0,2015Q4
232,DURG_3,2015,4,5343.273949160585,1588.084045968581,1645.7712617977286,429.74850038666773,2015Q4
233,DURG_4,2015,4,2990.552103017276,624.6440919563277,132.04677607597432,87.93643801896724,2015Q4
234,DURG_5,2015,4,2010.8756384738167,359.87377564902,1987.9234849476343,380.3801616183,2015Q4
235,DURG_6,2015,4,6871.753721782397,4666.445618167721,6375.778493564798,119.67619203283903,2015Q4
236,DURG_7,2015,4,1991.2110840430933,2455.5691844727544,2755.1503837930522,719.1212911814309,2015Q4
237,DURG_8,2015,4,74.61500219777687,2.5643649895029745,19.050681380553726,0.0,2015Q4
238,DURG_9,2015,4,679.6489947310512,593.9859321558171,938.1174659621022,96.00320207718528,2015Q4
239,DURG_10,2015,4,915.1766989213369,574.2603513029002,703.7986888729502,21.00970379782939,2015Q4
240,DURG_1,2016,1,9283.752698728336,12174.645332974467,6844.408228659046,3682.1827231062052,2016Q1
241,DURG_2,2016,1,161.23636917246142,0.0,158.8854005299443,0.0,2016Q1
242,DURG_3,2016,1,7990.164376121311,3183.9986770357445,3881.6770905959547,1324.7807016785518,2016Q1
243,DURG_4,2016,1,4364.923302452026,1232.7967470266613,5547.431098207982,274.1865130022429,2016Q1
244,DURG_5,2016,1,1886.2919932145119,2913.11152216531,1688.5665319999998,402.8832329601951,2016Q1
245,DURG_6,2016,1,6925.85780590833,16116.661548656066,4170.908609088419,1525.5261884818901,2016Q1
246,DURG_7,2016,1,2184.4159250000002,4158.355408795882,2205.770115000001,1093.485029781612,2016Q1
247,DURG_8,2016,1,34.612976157996776,30.705400047596243,12.10226980652952,8.005666350000013,2016Q1
248,DURG_9,2016,1,3750.281672289585,1250.4448261890689,2989.6964285781214,417.81601182421423,2016Q1
249,DURG_10,2016,1,980.3417612683568,742.2593114906388,1027.131120309499,321.1954777740423,2016Q1
250,DURG_1,2016,2,9206.52708998103,9405.922086273487,7055.453206979713,2967.376874153273,2016Q2
251,DURG_2,2016,2,153.42742797762043,0.0,146.10265472246925,0.0,2016Q2
252,DURG_3,2016,2,7548.231255379087,3720.8284850210684,3731.95376950175,939.8501432999128,2016Q2
253,DURG_4,2016,2,6769.537618718723,1111.9607088558869,5483.419615027387,50.54181367680303,2016Q2
254,DURG_5,2016,2,1867.3578154383918,2252.8097383100576,1688.5665319999998,241.86231489491502,2016Q2
255,DURG_6,2016,2,6849.200739907041,5491.815815063976,3785.0329981015966,2623.011346135885,2016Q2
256,DURG_7,2016,2,2184.4159250000002,2296.063230773034,2205.770115000001,624.325120914149,2016Q2
257,DURG_8,2016,2,29.99520113691154,30.69619677792577,6.685417258823083,8.005666350000013,2016Q2
258,DURG_9,2016,2,2876.536259868338,5268.310434871626,2377.2369571331774,157.61720999344038,2016Q2
259,DURG_10,2016,2,1263.8358643406038,502.38344231431654,1167.8313164802014,341.0349474779582,2016Q2
260,DURG_1,2016,3,9253.874969083055,7652.449318685662,6777.805565798764,2562.5863192879297,2016Q3
261,DURG_2,2016,3,142.26435518745157,0.0,124.1443170429016,0.0,2016Q3
262,DURG_3,2016,3,5268.858116965663,1070.9020906369046,1481.1321834453029,429.82370001241907,2016Q3
263,DURG_4,2016,3,8859.828519593982,255.76555408098443,5353.642775497277,166.65402243880862,2016Q3
264,DURG_5,2016,3,1841.9491834845908,1998.606602372331,1688.5665319999998,255.85638553596618,2016Q3
265,DURG_6,2016,3,7712.610626451002,3821.722765242921,3348.706588797246,3147.5760401866646,2016Q3
